Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1091520,Richard Williams,193694,16-NOV-22,21/12/2022,263.76,43.96,PJHA,"Depot, Management & Admin",3711,Subscriptions,Places
Blackpool Council,1092208,Tony Doyle,193722,01-DEC-22,21/12/2022,503.32,83.89,FGAA,Ict Corporate Services,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1092208,Tony Doyle,193724,24-NOV-22,21/12/2022,273.37,45.56,FGAA,Ict Corporate Services,3532,Comp-Running & License Costs,Resources
Blackpool Council,1092208,Tony Doyle,193727,21-NOV-22,21/12/2022,2640,0,FGAA,Ict Corporate Services,3532,Comp-Running & License Costs,Resources
Blackpool Council,1092208,Tony Doyle,193731,01-DEC-22,21/12/2022,254.24,42.37,FGAA,Ict Corporate Services,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1106243,Lisa Gibson,193828,10-NOV-22,21/12/2022,355,59.17,ZS0001,Social Work And Safeguarding,96P8,Court Protection Suspense,Cafs
Blackpool Council,1106243,Lisa Gibson,193829,10-NOV-22,21/12/2022,355,59.17,ZS0001,Social Work And Safeguarding,96P8,Court Protection Suspense,Cafs
Blackpool Council,1106243,Lisa Gibson,193834,03-NOV-22,21/12/2022,735,122.5,ZS0001,Social Work And Safeguarding,96P8,Court Protection Suspense,Cafs
Blackpool Council,1106243,Lisa Gibson,193835,03-NOV-22,21/12/2022,735,0,ZS0001,Social Work And Safeguarding,96P8,Court Protection Suspense,Cafs
Blackpool Council,1106608,Clare Barker,193846,23-NOV-22,21/12/2022,337.27,0,APCBAA,Coopers Way,3801,Other Expenses,Adult & Families
Blackpool Council,1107073,Carmel Sullivan,193848,01-DEC-22,21/12/2022,260.36,0,APCBAA,Coopers Way,3801,Other Expenses,Adult & Families
Blackpool Council,1107749,Barbara Greaves,193908,30-NOV-22,21/12/2022,300,50,FC1802,Social Fund - Client,5210,Community Care Support,Resources
Blackpool Council,1107749,Barbara Greaves,193918,24-NOV-22,21/12/2022,303.99,50.67,JEA,Senior Management,5576,Christmas Allowance,Children'S Services
Blackpool Council,1107875,Arc,194865,07-NOV-22,22/12/2022,519.15,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,194866,22-NOV-22,22/12/2022,384.37,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,194870,17-NOV-22,22/12/2022,1189.87,198.31,APDBBB,Arc,3041,Other Materials,Adult & Families
Blackpool Council,1107875,Arc,194889,15-NOV-22,22/12/2022,511.18,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,194890,14-NOV-22,22/12/2022,303.36,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,194891,09-NOV-22,22/12/2022,409.32,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,194894,02-NOV-22,22/12/2022,721.31,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,194900,03-NOV-22,22/12/2022,1279.86,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107876,Surestart Grange Park,194902,24-NOV-22,22/12/2022,1063.66,0,NA1281,Grange Park Cafe,3101,Provisions,Children'S Services
Blackpool Council,1107876,Surestart Grange Park,194904,22-NOV-22,22/12/2022,256.03,0,NA1281,Grange Park Cafe,3101,Provisions,Children'S Services
Blackpool Council,1107877,Surestart Talbot & Brunswick,194913,15-NOV-22,22/12/2022,705.83,0,NA1381,Cafe,3101,Provisions,Children'S Services
Blackpool Council,1107973,Anchorsholme Meals,194928,08-NOV-22,22/12/2022,508.04,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107973,Anchorsholme Meals,194933,22-NOV-22,22/12/2022,477.43,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107973,Anchorsholme Meals,194934,29-NOV-22,22/12/2022,317.39,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107973,Anchorsholme Meals,194937,04-NOV-22,22/12/2022,319.23,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107973,Anchorsholme Meals,194938,10-NOV-22,22/12/2022,428.47,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
