Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1092208,Tony Doyle,201405,02-FEB-23,17/03/2023,631.25,105.21,FGAA,Ict Corporate Services,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1092208,Tony Doyle,201407,24-FEB-23,17/03/2023,258.98,43.16,FGAA,Ict Corporate Services,3532,Comp-Running & License Costs,Resources
Blackpool Council,1092208,Tony Doyle,201411,22-FEB-23,17/03/2023,273.19,45.53,FGAA,Ict Corporate Services,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1094474,Mandy Tythe-Mccallum,201421,07-FEB-23,17/03/2023,478.61,79.77,PRA,Conferences,3801,Other Expenses,Places
Blackpool Council,1107875,Arc,202382,27-FEB-23,24/03/2023,267.26,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,202384,08-FEB-23,24/03/2023,409.8,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,202385,08-FEB-23,24/03/2023,588,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,202387,24-FEB-23,24/03/2023,486,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,202395,06-FEB-23,24/03/2023,264.61,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,202397,03-FEB-23,24/03/2023,888.32,0,APDBBB,Arc,3041,Other Materials,Adult & Families
Blackpool Council,1107875,Arc,202412,24-FEB-23,24/03/2023,314.83,0,APDBBB,Arc,3101,Provisions,Adult & Families
Blackpool Council,1107875,Arc,202417,16-FEB-23,24/03/2023,663.48,110.58,APDBBB,Arc,3041,Other Materials,Adult & Families
Blackpool Council,1107972,Anchorsholme Breakfast,202437,10-FEB-23,24/03/2023,355.32,0,SCHBRK,Free School Breakfasts,3101,Provisions,Community & Env Services
Blackpool Council,1107972,Anchorsholme Breakfast,202442,28-FEB-23,24/03/2023,268.8,0,SCHBRK,Free School Breakfasts,3101,Provisions,Community & Env Services
Blackpool Council,1107972,Anchorsholme Breakfast,202444,03-FEB-23,24/03/2023,368.06,0,SCHBRK,Free School Breakfasts,3101,Provisions,Community & Env Services
Blackpool Council,1107972,Anchorsholme Breakfast,202445,24-FEB-23,24/03/2023,327.79,0,SCHBRK,Free School Breakfasts,3101,Provisions,Community & Env Services
Blackpool Council,1107973,Anchorsholme Meals,202447,07-FEB-23,24/03/2023,663.36,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107973,Anchorsholme Meals,202451,24-FEB-23,24/03/2023,589.71,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107973,Anchorsholme Meals,202453,24-FEB-23,24/03/2023,747.56,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107973,Anchorsholme Meals,202457,09-FEB-23,24/03/2023,437.17,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107973,Anchorsholme Meals,202458,08-FEB-23,24/03/2023,593.71,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107977,Bispham Endowed Meals,202481,10-FEB-23,24/03/2023,367.59,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107977,Bispham Endowed Meals,202492,01-MAR-23,24/03/2023,304.59,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107977,Bispham Endowed Meals,202494,03-FEB-23,24/03/2023,273.49,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107977,Bispham Endowed Meals,202498,24-FEB-23,24/03/2023,446.48,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202518,24-FEB-23,24/03/2023,727.58,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202519,24-FEB-23,24/03/2023,633.31,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202520,09-FEB-23,24/03/2023,436.71,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202521,08-FEB-23,24/03/2023,691.78,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202522,07-FEB-23,24/03/2023,848.77,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202523,06-FEB-23,24/03/2023,403.65,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202524,28-FEB-23,24/03/2023,415.66,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202536,24-FEB-23,24/03/2023,349.51,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202542,28-FEB-23,24/03/2023,702.05,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202543,01-MAR-23,24/03/2023,488,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107979,Blackpool Aspire Meals,202557,07-FEB-23,24/03/2023,295,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1107982,Claremont Breakfast,202571,07-FEB-23,24/03/2023,418.5,0,SCHBRK,Free School Breakfasts,3101,Provisions,Community & Env Services
Blackpool Council,1107982,Claremont Breakfast,202575,28-FEB-23,24/03/2023,356.35,0,SCHBRK,Free School Breakfasts,3101,Provisions,Community & Env Services
Blackpool Council,1107982,Claremont Breakfast,202577,24-FEB-23,24/03/2023,389.05,0,SCHBRK,Free School Breakfasts,3101,Provisions,Community & Env Services
