Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1116288,Amas Ltd - Common Receipts Account,593472,202200000153,06/12/2022,10986.3,0,HJI,Growth Investments,1301,Rent & Hire Of Premises,Places
Blackpool Council,1031475,Jenx Ltd T/A Jiraffe,603086,241263,05/12/2022,1281.6,213.6,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1011675,Bambers Remedial Contractors Limited,608677,17780,06/12/2022,9529.71,0,CX4002,Disabled Facilities Grants,6501,Contract Payments,Capital - Adult Social Care
Blackpool Council,1011675,Bambers Remedial Contractors Limited,608677,17780,06/12/2022,475,0,CXC31,Hra Capital Programme 2022/23,6501,Contract Payments,Capital - Chief Executive
Blackpool Council,1135361,Second Skin,611129,154172,21/12/2022,2554,0,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1090885,St John'S Pcc,612822,332/22,06/12/2022,635.27,0,FB0004,Energy & Sustainability,1202,Electricity,Resources
Blackpool Council,1015415,Hmg Paints Ltd,613914,5147991,08/12/2022,379.53,63.25,PJNA,New Features / Schemes - C & E,3041,Other Materials,Places
Blackpool Council,1005071,Blackpool Transport Services Limited,613947,I0004288,07/12/2022,6984,0,OTHL,Other Learning,2301,Bus & Tram Fares,Children'S Services
Blackpool Council,1101766,Cjgriffiths Photography,614134,GRUNFILMPAR22,19/12/2022,1500,0,AHG,Art Gallery Summary,3456,Payment To Artists,Places
Blackpool Council,1012990,Gladstone Mrm Limited,614294,04021214,08/12/2022,4352.4,725.4,LEISUR,Leisure Management,3801,Other Expenses,Community & Env Services
Blackpool Council,1076636,Chicken Joes Ltd,614401,771958,01/12/2022,300.15,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1076636,Chicken Joes Ltd,614402,771964,01/12/2022,402.09,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1076636,Chicken Joes Ltd,614405,782886,01/12/2022,376.19,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1076636,Chicken Joes Ltd,614415,771967,01/12/2022,375.95,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
Blackpool Council,1007385,R S Components Ltd,614528,2208907617,08/12/2022,439.78,73.3,PJRA,Electrical Infra - Places,3041,Other Materials,Places
Blackpool Council,1026738,Cassidy + Ashton Group Limited,614775,19665,01/12/2022,1140,190,CGICAD,Enterprise Zone,6506,Consultants Fees,Capital - Commnctn & Regen
Blackpool Council,1119493,Centerprise International Ltd,614860,90289487,01/12/2022,53064,8844,CS0739,Ict Refresh,6525,I.T. Hardware Purchase,Capital - Resources
Blackpool Council,1012669,Swim England Trading Limited,614893,SWINV070831,08/12/2022,252,42,LEISUR,Leisure Management,3815,Saleable Goods,Community & Env Services
Blackpool Council,1026738,Cassidy + Ashton Group Limited,614907,19673,01/12/2022,1140,190,AEB,Buildings,3401,General Services,Resources
Blackpool Council,1026738,Cassidy + Ashton Group Limited,614922,19672,01/12/2022,6000,1000,CXC11,Site Development,6503,Capital Salaries (Pro Advance),Capital - Chief Executive
Blackpool Council,1010026,Chartered Institute Of Environmental,614927,PS010362,02/12/2022,1200,200,PYAA,Head Of Environmental Health,3313,General Expenses,Community & Env Services
Blackpool Council,1026811,Stannah Lift Services Ltd,614984,1085479443,21/12/2022,3701,0,CX4002,Disabled Facilities Grants,6501,Contract Payments,Capital - Adult Social Care
Blackpool Council,1112303,Access-Able (Uk) Limited (Fac001),614991,5277,02/12/2022,6266,0,CXAAA,Local Authority Dwellings,6501,Contract Payments,Capital - Chief Executive
Blackpool Council,1114522,The Oyster Partnership Ltd,615002,10942863,05/12/2022,1998,333,AEV,Vacant & Under Used,0981,Professional Fees,Resources
Blackpool Council,1061733,Northpoint Publishing Ltd (Fac060),615010,12297,02/12/2022,4200,700,HJA,Growth,3315,Marketing,Places
Blackpool Council,1006460,Closomat Limited,615015,SI-102882,02/12/2022,368.4,61.4,CXAAA,Local Authority Dwellings,6501,Contract Payments,Capital - Chief Executive
Blackpool Council,1025705,Premier Cabs Blackpool Ltd,615040,INV-101,07/12/2022,594,99,TRCHIL,Integrated Transport Children,2201,Contract Hire,Community & Env Services
Blackpool Council,1025705,Premier Cabs Blackpool Ltd,615041,INV-102,07/12/2022,732.6,122.1,JEA,Senior Management,2201,Contract Hire,Children'S Services
