Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1132812,Cognisoft Limited,596194,INV-0447,15/07/2022,600,100,PVA,Other External Funding,3313,General Expenses,Places
Blackpool Council,1132812,Cognisoft Limited,596241,INV-0454,15/07/2022,2430,405,PVA,Other External Funding,3313,General Expenses,Places
Blackpool Council,1008775,J P Lennard Ltd,598793,140598,19/07/2022,1052.76,175.46,SPORTY,Sports & Physical Activity,3007,Recreational Equipment,Community & Env Services
Blackpool Council,1086156,Water Saving Techniques Limited,601016,SI-5359,13/07/2022,1080.98,180.16,PARADE,Parades & Seawall,1012,Premises Maint-Priv.Contractor,Community & Env Services
Blackpool Council,1101124,South Shore Academy,601136,SSSI57,01/07/2022,6900,0,CWAN,Children With Additional Needs,2301,Bus & Tram Fares,Children'S Services
Blackpool Council,1027246,Active Lancashire Ltd,601376,1412,01/07/2022,744,124,LEISUR,Leisure Management,3801,Other Expenses,Community & Env Services
Blackpool Council,1027246,Active Lancashire Ltd,601377,1432,01/07/2022,2262,377,LEISUR,Leisure Management,3801,Other Expenses,Community & Env Services
Blackpool Council,1008620,Ppg Architectural Coatings Uk Limited,601429,4482201812,21/07/2022,294,49,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1008775,J P Lennard Ltd,601495,144389,18/07/2022,511.56,85.26,LEISUR,Leisure Management,3007,Recreational Equipment,Community & Env Services
Blackpool Council,1053261,Ad Systems (Uk) Limited,601530,INV-9704,15/07/2022,164291.32,27381.89,CGRESO,Resources Schemes,6507,Materials,Capital - Resources
Blackpool Council,1086621,Barnfield Investment Properties Ltd,601676,INV01736,01/07/2022,7804.8,1300.8,PJHA,"Depot, Management & Admin",3401,General Services,Places
Blackpool Council,1006586,H Jenkinson & Co Ltd,601692,SINV00934862,01/07/2022,260.4,43.4,LBF,Library Management,3041,Other Materials,Places
Blackpool Council,1006586,H Jenkinson & Co Ltd,601693,SINV00934863,01/07/2022,646.56,107.76,LBC,Branch Libraries,3041,Other Materials,Places
Blackpool Council,1102823,Wilde Consultants Limited,601707,23107,01/07/2022,4184.59,697.43,TRA,Traffic Management,4501,Private Contractors,Community & Env Services
Blackpool Council,1102823,Wilde Consultants Limited,601776,23108,06/07/2022,6462.72,1077.12,TRA,Traffic Management,4501,Private Contractors,Community & Env Services
Blackpool Council,1007980,Myerscough College,601916,049256,04/07/2022,1027.82,171.3,CEMCRE,Cems Crems Etc,3801,Other Expenses,Governance & Partnerships
Blackpool Council,1073279,Adass,601918,7128,06/07/2022,2293,0,EM2003,Departmental Management,3711,Subscriptions,Adult & Families
Blackpool Council,1012105,S & S Timber Supplies Ltd,601929,I0062715,21/07/2022,250.8,41.8,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1007206,Road Safety Services Ltd,601931,90777,21/07/2022,340.56,56.76,CWASTE,Commercial Waste,4501,Private Contractors,Community & Env Services
Blackpool Council,1134202,Parity Projects Ltd,602011,INV-2626,08/07/2022,3610.2,601.7,CORDEV,Corporate Delivery Unit,3801,Other Expenses,Chief Executive
Blackpool Council,1027465,Ove Arup & Partners Limited,602015,88-2202856,08/07/2022,20700,3450,CP0511,Anchorsholme Seawall Scheme,6506,Consultants Fees,Capital - Comm & Environ
Blackpool Council,1006944,Siemens Financial Services Ltd,602021,244/2210166468,21/07/2022,3791.41,631.9,APFBAB,Vitaline,4501,Private Contractors,Adult & Families
Blackpool Council,1110829,News Uk & Ireland Ltd T/A Simply Zesty,602030,0120001016,01/07/2022,2700,0,PRJAAA,Website Team,3535,Website Costs,Places
Blackpool Council,1121485,Philredom Ltd,602051,PL01062022-77,01/07/2022,7915,0,MNGMT,Central Management,0917,Other Exps,Children'S Services
Blackpool Council,1121485,Philredom Ltd,602052,PL010622-78,01/07/2022,2275,0,MNGMT,Central Management,0917,Other Exps,Children'S Services
Blackpool Council,1121728,Arrow County Supplies,602111,4954836,08/07/2022,598.5,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1121728,Arrow County Supplies,602111,4954836,08/07/2022,718.2,119.7,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1134238,Gardening For Kids Ltd,602131,ORD13634,13/07/2022,421.97,70.36,PRKDEV,Parks Development,3040,Handicraft Materials,Community & Env Services
Blackpool Council,1110132,Health Assured Ltd,602133,SF-114511,01/07/2022,3170.7,528.45,FK0013,Corporate Health,0992,Medical Fees (Employee),Chief Executive
Blackpool Council,1010860,Advanced Steel Services Ltd,602217,01119386,08/07/2022,2287.5,381.25,PJNA,New Features / Schemes - C & E,3041,Other Materials,Places
Blackpool Council,1104701,Working Planet Limited,602223,30588,08/07/2022,298.8,49.8,CORDEV,Corporate Delivery Unit,3801,Other Expenses,Chief Executive
Blackpool Council,1008775,J P Lennard Ltd,602228,145331,06/07/2022,438.36,73.06,LEISUR,Leisure Management,0917,Other Exps,Community & Env Services
Blackpool Council,1133727,Impacted Limited,602233,INV-180560,01/07/2022,8850,1475,OPAREA,Opportunity Areas,4515,Contract Services,Places
Blackpool Council,1132845,Susan Hayward Consulting,602241,006/BC,01/07/2022,5400,0,MNGMT,Central Management,0917,Other Exps,Children'S Services
Blackpool Council,1121194,REDACTED PERSONAL DATA,602267,HS29,08/07/2022,2386.09,0,HS0003,Headstart Commissioning,3401,General Services,Children'S Services
Blackpool Council,1120227,Achievement Through Collaboration Trust,602273,ATCSI33,08/07/2022,2500,0,MNGMT,Central Management,0917,Other Exps,Children'S Services
Blackpool Council,1118402,Tony Gallagher T/A Supporting Learning Ltd,602274,BPOOLVSJUNE22,08/07/2022,450,0,MNGMT,Central Management,0917,Other Exps,Children'S Services
Blackpool Council,1008459,The Lancashire Wildlife Trust,602278,11817,19/07/2022,61300,0,CPAABK,Sand Dunes Env Wrk Ph105,6506,Consultants Fees,Capital - Comm & Environ
Blackpool Council,1135214,REDACTED PERSONAL DATA,602292,91550,08/07/2022,3330,555,HJA,Growth,6214,Legal Services,Places
Blackpool Council,1053261,Ad Systems (Uk) Limited,602293,INV-9780,15/07/2022,32406.55,5401.09,CGRESO,Resources Schemes,6507,Materials,Capital - Resources
Blackpool Council,1098899,Browne Jacobson Llp,602296,IN-000117237,08/07/2022,1389.6,231.6,FL1259,Pfi Management Costs,4501,Private Contractors,Community & Env Services
Blackpool Council,1119674,Waterman Laundry Equipment Ltd,602300,INV-1301,13/07/2022,363.96,60.66,APDBBB,Arc,3211,Laundry,Adult & Families
Blackpool Council,1132811,REDACTED PERSONAL DATA,602306,22/0285,05/07/2022,1587.09,0,HS0001,Headstart Central Expenditure,3806,Advertising-General,Children'S Services
Blackpool Council,1123071,Whistlejacket London Limited,602307,INV-0831,08/07/2022,2235.6,372.6,HJA,Growth,3413,Consultants,Places
Blackpool Council,1067450,Cemetery Training Services Ltd,602333,0167,11/07/2022,3210.48,535.08,CEMCRE,Cems Crems Etc,3801,Other Expenses,Governance & Partnerships
Blackpool Council,1114036,Odlings Ltd T/A The Columbaria Co,602336,INV0084479,08/07/2022,706.8,117.8,CEMCRE,Cems Crems Etc,3454,Remove And Refix Memorials,Governance & Partnerships
Blackpool Council,1105698,Hampton'S Resourcing,602472,HAM05.6.22.3,05/07/2022,1694.11,282.35,MNGMT,Central Management,0917,Other Exps,Children'S Services
Blackpool Council,1071928,Civica Uk Limited,602501,C/PY245694,13/07/2022,3600,600,FC1211,Cashiers,3532,Comp-Running & License Costs,Resources
Blackpool Council,1083425,Triple P Uk Ltd,602503,INUK12492,14/07/2022,42516,7086,SBOARD,Springboard,3401,General Services,Children'S Services
Blackpool Council,1101740,Ken Taylor Supplies Limited,602507,0357867,14/07/2022,390,65,PARADM,Parking Administration,4501,Private Contractors,Budgets Outside Cash Limits
Blackpool Council,1018211,C & W Berry Ltd,602516,SI00226814,13/07/2022,496.45,82.74,PJAA,"Erection, Operation & Dismantl",3041,Other Materials,Places
Blackpool Council,1007228,Origin Amenity Solutions Ltd T/A Rigby Taylor,602517,OASI0020912,20/07/2022,2756,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1007228,Origin Amenity Solutions Ltd T/A Rigby Taylor,602517,OASI0020912,20/07/2022,3307.2,551.2,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1065232,Back Care Solutions Ltd,602529,104509,12/07/2022,275.4,45.9,JA1531,Independent Reviewing Officers,0I91,Other,Children'S Services
Blackpool Council,1078534,Ekos Consulting Uk Ltd T/A Ekosgen,602532,INV-2338,13/07/2022,3598.62,599.77,PVA,Other External Funding,3401,General Services,Places
Blackpool Council,1116610,Smart Video & Sensing Limited,602533,101408,14/07/2022,522,87,CTACBA,Ltp Scheme 21/22,6501,Contract Payments,Capital - Commnctn & Regen
Blackpool Council,1008743,James Leckey Design Ltd T/A Vida Global,602534,OP/I189130,07/07/2022,2138.4,356.4,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1008743,James Leckey Design Ltd T/A Vida Global,602535,OP/I189188,08/07/2022,3666,611,CWAN,Children With Additional Needs,5401,Aids To Daily Living,Children'S Services
Blackpool Council,1008743,James Leckey Design Ltd T/A Vida Global,602536,OP/I189290,08/07/2022,3230.4,538.4,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1019678,Smirthwaite Ltd,602538,197909,08/07/2022,382.8,63.8,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1134332,Epe Reynell Advertising Limited,602559,INV_414553,01/07/2022,579.46,96.58,TRA,Traffic Management,4501,Private Contractors,Community & Env Services
Blackpool Council,1053261,Ad Systems (Uk) Limited,602565,INV-9802,15/07/2022,20527.75,3421.29,CGRESO,Resources Schemes,6507,Materials,Capital - Resources
Blackpool Council,1071925,Groundwork Cheshire Lancs And Merseyside,602567,0000003730,13/07/2022,45691.2,7615.2,AEB,Buildings,4501,Private Contractors,Resources
Blackpool Council,1057663,Wilde Recruitment Ltd,602569,40775,08/07/2022,920.64,153.44,CTAHHA,Tramway Emergency Works,6501,Contract Payments,Capital - Commnctn & Regen
