Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1068185,David Austin Rose Nursery Limited,593798,GDSI19346,12/05/2022,2609.68,434.94,PRKDEV,Parks Development,1021,Growing,Community & Env Services
Blackpool Council,1016258,M J Teale Plant Hire Ltd,594361,001573,16/05/2022,1544.31,257.39,SCHEME,Highways Schemes,1012,Premises Maint-Priv.Contractor,Community & Env Services
Blackpool Council,1062176,Gmbg Ltd T/A Civils & Lintels,595036,FNW/348886,04/05/2022,900,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1062176,Gmbg Ltd T/A Civils & Lintels,595036,FNW/348886,04/05/2022,1080,180,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1017244,M Bissell Display Limited,595303,10099,16/05/2022,1113.6,185.6,SCHEME,Highways Schemes,3041,Other Materials,Community & Env Services
Blackpool Council,1121728,Arrow County Supplies,595849,4945213,04/05/2022,251.51,41.91,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1121654,J Atkinson & Co (Lancaster) Ltd,596070,71557,24/05/2022,699.01,116.5,CATERG,Catering Services,1066,Service Contracts,Community & Env Services
Blackpool Council,1121728,Arrow County Supplies,596354,4945716,19/05/2022,683.6,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1121728,Arrow County Supplies,596354,4945716,19/05/2022,820.32,136.72,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1006419,Tunstall Healthcare (Uk) Ltd,596736,3IN/10388427,05/05/2022,308.52,51.42,APFBAB,Vitaline,4501,Private Contractors,Adult & Families
Blackpool Council,1041542,James Caverhill Conservation Ltd,596749,5736,04/05/2022,1270,0,AHHBA,Blackpool Museum,3801,Other Expenses,Places
Blackpool Council,1049304,Insight Direct (Uk) Ltd,596765,2100189328,03/05/2022,4473.68,745.61,FGAC,Ict Technical Support,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1121728,Arrow County Supplies,596797,4946372,04/05/2022,251.52,41.92,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1106616,Boingboing Resilience Cic,596865,716,04/05/2022,5280,880,HS0003,Headstart Commissioning,3401,General Services,Children'S Services
Blackpool Council,1106616,Boingboing Resilience Cic,596866,717,04/05/2022,11152.28,1858.71,HS0007,Young People & Comm'Y Engagemt,4501,Private Contractors,Children'S Services
Blackpool Council,1006449,Tmp (Uk) Ltd,596875,240910,05/05/2022,3319.08,553.18,TRA,Traffic Management,4501,Private Contractors,Community & Env Services
Blackpool Council,1049304,Insight Direct (Uk) Ltd,596876,2100190438,04/05/2022,1180.79,196.8,FGAC,Ict Technical Support,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1094603,Ncer Cic,596964,61834134,06/05/2022,6261.59,1043.6,CORDEV,Corporate Delivery Unit,3532,Comp-Running & License Costs,Chief Executive
Blackpool Council,1019678,Smirthwaite Ltd,597005,196219,05/05/2022,360,60,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1019678,Smirthwaite Ltd,597007,196205,04/05/2022,360,60,MTEAJ,Equipment,5401,Aids To Daily Living,Adult & Families
Blackpool Council,1121728,Arrow County Supplies,597036,4946705,06/05/2022,1223.5,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1121728,Arrow County Supplies,597036,4946705,06/05/2022,1468.19,244.69,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1106616,Boingboing Resilience Cic,597045,718,04/05/2022,50702.4,8450.4,HS0003,Headstart Commissioning,3401,General Services,Children'S Services
Blackpool Council,1071702,Links Signs & Graphics Ltd,597110,LSGI32728,18/05/2022,2304,384,PVA,Other External Funding,3313,General Expenses,Places
Blackpool Council,1071928,Civica Uk Limited,597117,C/RB240765,06/05/2022,1500,250,FBBEA,"Income, Recovery & Debtors",3533,Computer S/W Purchases,Resources
Blackpool Council,1084631,Institute Of Licensing Ltd,597144,35668,06/05/2022,615,0,PYLA,Licencing,3711,Subscriptions,Community & Env Services
Blackpool Council,1028641,New Mind Internet Consultancy Ltd,597204,NM34673,05/05/2022,3420,570,PRJAAA,Website Team,3535,Website Costs,Places
Blackpool Council,1059927,The Document Management Group,597211,20127,06/05/2022,1620,270,BGA,Electoral Services,3001,Office Equipment Purchase,Governance & Partnerships
Blackpool Council,1025240,Key Engineering Supplies Ltd,597377,48822,06/05/2022,369.54,61.59,ENGINE,Engineering,3201,Clothing & Uniforms,Community & Env Services
Blackpool Council,1057660,Texthelp Ltd,597397,76185,06/05/2022,2132.4,355.4,EYT,Early Years Team,3711,Subscriptions,Children'S Services
Blackpool Council,1094355,Les Mills Fitness Uk Ltd,597425,LMUK-SIV-118221,05/05/2022,450,75,LEISUR,Leisure Management,3801,Other Expenses,Community & Env Services
Blackpool Council,1114551,Getech Ltd,597444,777656,06/05/2022,1134,189,FGAC,Ict Technical Support,3531,Computer-H'Ware Purchase,Resources
Blackpool Council,1026118,Apea,597446,108571,09/05/2022,2106,351,PYTA,Trading Standards,3605,Confs & Short Courses,Community & Env Services
Blackpool Council,1010619,Askews And Holts Library Services Ltd,597451,6678743,04/05/2022,404.72,0,LBB,Central Library,3304,Books And Periodicals,Places
Blackpool Council,1010619,Askews And Holts Library Services Ltd,597454,6678745,04/05/2022,290.44,0,LBB,Central Library,3304,Books And Periodicals,Places
