Body Name,Supplier Code,Supplier Name,Transaction Ref/No,Their Ref,Date Paid,Gross Value (Detail),VAT Amount,7CCC - Level 7 Cost Centre Code,7CCN - Level 7 Cost Centre Name,9AC - Level 9 Account Code,9AN - Level 9 Account Name,4CCN - Level 4 Cost Centre Name
Blackpool Council,1120105,Complex Cleaning Supplies Ltd,581675,SINV-0324808,30/09/2022,860.86,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1120105,Complex Cleaning Supplies Ltd,581675,SINV-0324808,30/09/2022,1033.03,172.17,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1106267,Blackpool Pride Festival,602334,INV-0078,30/09/2022,300,0,LIFEVE,Life Events Reg & Care,0I91,Other,Governance & Partnerships
Blackpool Council,1121728,Arrow County Supplies,604657,4959308,23/09/2022,658.8,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1121728,Arrow County Supplies,604657,4959308,23/09/2022,790.56,131.76,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1121728,Arrow County Supplies,605070,4960094,26/09/2022,250.75,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1121728,Arrow County Supplies,605070,4960094,26/09/2022,300.9,50.15,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1121728,Arrow County Supplies,605172,4960260,26/09/2022,279.36,46.56,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1055665,Clive Hurt (Plant Hire) Ltd,605662,0000101820,29/09/2022,6572.88,1095.48,SCHEME,Highways Schemes,1012,Premises Maint-Priv.Contractor,Community & Env Services
Blackpool Council,1055665,Clive Hurt (Plant Hire) Ltd,605663,0000101975,29/09/2022,4471.73,745.29,SCHEME,Highways Schemes,1012,Premises Maint-Priv.Contractor,Community & Env Services
Blackpool Council,1055665,Clive Hurt (Plant Hire) Ltd,605667,0000103058,29/09/2022,2160,360,SCHEME,Highways Schemes,1012,Premises Maint-Priv.Contractor,Community & Env Services
Blackpool Council,1121728,Arrow County Supplies,605894,4961299,26/09/2022,263.52,43.92,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1107153,Landscape Supply Company,606034,112234,02/09/2022,287.42,47.9,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1025240,Key Engineering Supplies Ltd,606123,51990,05/09/2022,264.11,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1025240,Key Engineering Supplies Ltd,606123,51990,05/09/2022,264.11,0,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1010860,Advanced Steel Services Ltd,606130,01122526,13/09/2022,352.32,58.72,SCHEME,Highways Schemes,3041,Other Materials,Community & Env Services
Blackpool Council,1075909,Viatec Uk Ltd,606152,1985541,02/09/2022,990,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1075909,Viatec Uk Ltd,606152,1985541,02/09/2022,1188,198,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1075909,Viatec Uk Ltd,606226,1985566,02/09/2022,1980,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1075909,Viatec Uk Ltd,606226,1985566,02/09/2022,2376,396,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1025240,Key Engineering Supplies Ltd,606236,52022,02/09/2022,549,0,ZM0018,Highways & Engineering,9773,Orders Received Not Invoiced,Blackpool Services
Blackpool Council,1025240,Key Engineering Supplies Ltd,606236,52022,02/09/2022,658.8,109.8,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1121728,Arrow County Supplies,606312,4961769,26/09/2022,254.16,42.36,ZM0018,Highways & Engineering,9511A,Stocks Efin,Blackpool Services
Blackpool Council,1076636,Chicken Joes Ltd,606382,758823,01/09/2022,458.35,0,CATERG,Catering Services,3101,Provisions,Community & Env Services
