Creditor_Name ,Invoice Line Amount,Payment_Date,Expenditure Category/Description,LA Department
REDACTED PERSONAL INFORMATION,1148,45363,Community Care Direct Payments,Health and Adult Services
CAMBIAN WHINFELL SCHOOL LIMITED,16104.9,45306,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,1148,45363,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,759,45294,Other Services,Childrens Services
LEWISHAM SOUTHWARK COLLEGE,5481.67,45316,MIsc,Childrens Services
WERNICK BUILDINGS LIMITED,323277.7,45296,Newbuild,Capital Housing Revenue Acc
KILLGERM CHEMICALS LTD,1419.84,45306,Equipment,Comm Safety and Environment
REDACTED PERSONAL INFORMATION,865.76,45330,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1148,45363,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,792.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1246.25,45309,MIsc,Childrens Services
SANCTUARY CARE LTD,6017.63,45293,Private Sector Nursing Homes,Health and Adult Services
GREENWICH INCLUSION PROJECT (GRIP),2916,45314,Grants To Voluntary Organ,Health and Adult Services
REDACTED PERSONAL INFORMATION,9910.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,750.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4437.36,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,846.16,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-164.72,45294,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,2865.96,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,7188,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1099.28,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1099.28,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1638,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3690.44,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,7560.4400000000005,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1294,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1360.92,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,5209.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-493.08,45294,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,1090.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3681.56,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,7666.400000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2677.76,45294,Community Care Direct Payments,Health and Adult Services
