Year,Month,Month Name,Paym Acc Date,Cclvl4 Desc,Account Desc,Vendor Name,Distrib Amount SUM
2024,3,MARCH,45352,Capital Programme and Planned Works- Major Projects,Contract  - Building Works,ALGECO UK LIMITED,637.6800000000001
2024,3,MARCH,45352,Head of Contact Centre,IT Contract Services,AMAZON WEB SERVICES EMEA SARL UK BRANCH,7325.55
2024,3,MARCH,45352,HRA Operating Budgets,Other Supplies & Services,ANCHOR TRUST,25355.3
2024,3,MARCH,45352,DSG - High Needs Block,Statemented Pupils,ASEND LTD,2925
2024,3,MARCH,45352,Head of Human Resources,Professional services,BADGES PLUS LIMITED,639
2024,3,MARCH,45352,Director Environment And Leisure (Residents),Tree Maintenance,BARCHAM TREES PLC,16876
2024,3,MARCH,45352,Head of Transport & Town Centres Projects,Other Supplies & Services,BAY MEDIA LTD,2500
2024,3,MARCH,45352,"Director Planning, Regeneration and Environment",Professional services,BEAMS LTD,3712.5
2024,3,MARCH,45352,Capital Programme and Planned Works - Schools,External Project Consultant Fees,BIDWELLS LLP,20100
2024,3,MARCH,45352,Head of Highways,Private Contractors,BINNIES UK LTD,1650
2024,3,MARCH,45352,Director Housing,Rents & Wayleaves,BISHOP PROPERTY MANAGEMENT LTD,1372.68
2024,3,MARCH,45352,Head of Direct Care Provision (CFE),Vehicle Contract Hire,BRENT COURIERS LIMITED,7388
2024,3,MARCH,45352,Community Safety,Contract - Other Services,BRITISH TELECOM PLC,-16143.28
2024,3,MARCH,45352,Director Community Safety And Enforcement,Equipment Hire,BRITISH TELECOM PLC,6417.52
2024,3,MARCH,45352,Head of ICT,Telephones,BRITISH TELECOM PLC,11838.03
2024,3,MARCH,45352,Capital Programme and Planned Works- Major Projects,Contract  - Building Works,BUGLER DEVELOPMENTS LTD,16930.82
2024,3,MARCH,45352,Director Environment And Leisure (Residents),Private Contractors,BURNHAM PUMP SERVICES LTD,950
2024,3,MARCH,45352,Head of Highways,Equipment Maintenance,BURNHAM PUMP SERVICES LTD,1645
2024,3,MARCH,45352,Director Operational Assets,Catering,CARE VENDING SERVICES LIMITED,1439.5
2024,3,MARCH,45352,HRA Operating Budgets,Buildings Maint Day To Day,CCR PROPERTY SERVICES LIMITED,5301.93
2024,3,MARCH,45352,Director Property Services,Surveyor Fees - External,CEMETERY DEVELOPMENT SERVICES LTD,4827
2024,3,MARCH,45352,Head of Direct Care Provision (CFE),Vehicle Contract Hire,CENTRAL EXPRESS CARS,38765
2024,3,MARCH,45352,Head of Procurement and Commissioning,Vehicle Fuel Costs,CERTAS ENERGY UK LIMITED,20735.350000000002
2024,3,MARCH,45352,Head of Procurement and Commissioning,Vehicle Fuel Costs,CHARLES STUART AUTOS LTD,702.98
2024,3,MARCH,45352,"Assistant Director, Youth Justice and Prevention",Other Supplies & Services,COMMUNITY CONNEX LTD,5585
2024,3,MARCH,45352,Capital Programme and Planned Works- Major Projects,Contract  - Building Works,CONCEPT COMMUNICATIONS,1754
2024,3,MARCH,45352,Head of Business Administration,Stores Purchase,CONTEGO SAFETY SOLUTIONS LTD,1861.3
2024,3,MARCH,45352,Head of Direct Care Provision (CFE),Private Contractors,CPC PROJECT SERVICES LLP,15750
2024,3,MARCH,45352,Head of Procurement and Commissioning,Vehicle Running Costs,CTRACK LTD,1308
2024,3,MARCH,45352,HRA Operating Budgets,Buildings Maint Day To Day,CYRIL SMITH LTD,6729.58
2024,3,MARCH,45352,Director Operational Assets,Other Office Expenses,DATA SOLUTIONS 2016 LTD T/A RESTORE DATASHRED,533.1800000000001
2024,3,MARCH,45352,Head of Hillingdon Music Service,Other Supplies & Services,DAWKES MUSIC LTD,1411.14
2024,3,MARCH,45352,Housing Special Projects - HRA,Contract  - Building Works,DRC!! GREYLINE BUILDERS LIMITED,41792.43
2024,3,MARCH,45352,Director Strategic & Operational Finance,Postage and Courier Services,DSI BILLING SERVICES LTD,2924.78
2024,3,MARCH,45352,HRA Operating Budgets,Buildings Maint Day To Day,DSSL GROUP LIMITED,3260.06
