Transaction number,Service Heads (T),Account (T),Transaction Date,Amount,Supplier Name
30263249,Adult Care Sector,Other Establishments,25/10/2024,50881.82,Ongo Recruitment Ltd
30264388,Adult Care Sector,Other Establishments,11/11/2024,24567.8,TRENT NURSING LTD
30262520,Adult Care Sector,Other Establishments,11/11/2024,599.76,Hales Group Ltd
30262344,Adult Care Sector,Other Establishments,11/11/2024,13600.8,Amara Care
30262234,Adult Care Sector,Other Establishments,11/11/2024,13395.88,Amphion Home Care Services Ltd
30261730,Adult Care Sector,Other Establishments,11/11/2024,5678.01,A.T.C.S. Ltd
30245427,Adult Care Sector,Other Establishments,11/11/2024,39333.72,Creative Support
30248296,Adult Care Sector,Other Establishments,11/11/2024,3733.36,Housing & Support Solutions Ltd
30264584,Adult Care Sector,Other Establishments,11/11/2024,25955.02,New Concept Care & Nursing Ltd
30256908,Adult Care Sector,Other Establishments,11/11/2024,63083.64,Sure Group
30249381,Adult Care Sector,Other Establishments,11/11/2024,77166.64,Nl Group Limited
30258473,Adult Care Sector,Other Establishments,11/11/2024,4898.88,Provide React
30257505,Adult Care Sector,Other Establishments,11/11/2024,3542.24,Promedica24 (Lancashire) Limited
30263483,Adult Care Sector,Other Establishments,11/11/2024,310768.92,Unique Community Services
30258465,Adult Care Sector,Other Establishments,11/11/2024,37984.35,Amber Care (Lincolnshire) Ltd
30258272,Adult Care Sector,Other Establishments,11/11/2024,8280,Amber House
30259436,Adult Care Sector,Other Establishments,11/11/2024,44296.2,Goodwin Healthcare Services Ltd
30261325,Adult Care Sector,Other Establishments,11/11/2024,56302.16,Elite Care Solutions Ltd
30256976,Adult Care Sector,Other Establishments,11/11/2024,59133.4,Jme Care Ltd
30257172,Adult Care Sector,Other Establishments,11/11/2024,28788.48,Solsken Ltd
30257762,Adult Care Sector,Other Establishments,12/11/2024,20990.4,Sycamore Lodge
30265151,Adult Care Sector,Other Establishments,12/11/2024,27987.2,Sycamore Lodge
30258453,Adult Care Sector,Other Establishments,15/11/2024,8895.4,Affinity Care Consortium Ltd
30258456,Adult Care Sector,Other Establishments,15/11/2024,23280.16,The Bridge Community Care Ltd
30258721,Adult Care Sector,Other Establishments,15/11/2024,3347.4,Home From Home Care Management Ltd
30259663,Adult Care Sector,Other Establishments,15/11/2024,12433.16,Home From Home Care Management Ltd
30262840,Adult Care Sector,Other Establishments,15/11/2024,8121.92,Hollybank Trust
30258656,Adult Care Sector,Other Establishments,15/11/2024,22857.56,Newfound Care Ltd
30258658,Adult Care Sector,Other Establishments,15/11/2024,13422.36,Sense
30258753,Adult Care Sector,Other Establishments,15/11/2024,4257.8,Woodview Care Ltd
30258933,Adult Care Sector,Other Establishments,15/11/2024,11044.56,Bupa Care Services (Commissioning) Ltd
30265352,Adult Care Sector,Other Establishments,15/11/2024,21354.17,Pathfinders Care (Ollerton) Ltd
30259109,Adult Care Sector,Other Establishments,15/11/2024,1179.2,Abbey Drive West
30259239,Adult Care Sector,Other Establishments,15/11/2024,68873.44,Amber House
30259248,Adult Care Sector,Other Establishments,15/11/2024,5197.44,Balmoral House
30259253,Adult Care Sector,Other Establishments,15/11/2024,2598.72,Ascot House
30259256,Adult Care Sector,Other Establishments,15/11/2024,18551.24,Beechcroft House
30259899,Adult Care Sector,Other Establishments,15/11/2024,10177.12,Blyton Court
30259973,Adult Care Sector,Other Establishments,15/11/2024,43596.04,Hc One
30259720,Adult Care Sector,Other Establishments,15/11/2024,27931.45,Hc One
30259726,Adult Care Sector,Other Establishments,15/11/2024,3785.16,Cas Learning Disabilities Ltd
30259770,Adult Care Sector,Other Establishments,15/11/2024,16741.61,P&N Care Home Ltd
30260371,Adult Care Sector,Other Establishments,15/11/2024,7146.48,Clarence House Care Centre
30260561,Adult Care Sector,Other Establishments,15/11/2024,9490.04,Community Solutions
