Transaction number,Service Heads (T),Account (T),Transaction Date,Amount,Supplier Name
30300459,Adult Care Sector,"Grants, Contributions & Donations Paid Out",27/03/2025,£926.90,Sycamore Lodge Care Home
30295893,Adult Care Sector,Other Establishments,03/02/2025,"£2,217.79",A.T.C.S. Ltd
42375393,Adult Care Sector,Other Establishments,28/02/2025,"£24,567.80",TRENT NURSING LTD
42375400,Adult Care Sector,Other Establishments,28/02/2025,"£1,199.52",Hales Group Ltd
42375401,Adult Care Sector,Other Establishments,28/02/2025,"£13,600.80",Amara Care
42375404,Adult Care Sector,Other Establishments,28/02/2025,"£11,853.64",Amphion Home Care Services Ltd
42375405,Adult Care Sector,Other Establishments,28/02/2025,"£6,829.08",A.T.C.S. Ltd
42375410,Adult Care Sector,Other Establishments,28/02/2025,"£6,196.80",Clark James Norwich Ltd
42375411,Adult Care Sector,Other Establishments,28/02/2025,"£39,333.72",Creative Support
42375414,Adult Care Sector,Other Establishments,28/02/2025,"£3,733.36",Housing & Support Solutions Ltd
42375416,Adult Care Sector,Other Establishments,28/02/2025,"£27,634.88",New Concept Care & Nursing Ltd
42375420,Adult Care Sector,Other Establishments,28/02/2025,"£19,704.10",Sure Group
42375417,Adult Care Sector,Other Establishments,28/02/2025,"£76,042.24",Nl Group Limited
42375394,Adult Care Sector,Other Establishments,28/02/2025,"£4,315.92",Provide React
42375395,Adult Care Sector,Other Establishments,28/02/2025,"£3,542.24",Promedica24 (Lancashire) Limited
42375396,Adult Care Sector,Other Establishments,28/02/2025,"£33,596.64",Unique Community Services
42375399,Adult Care Sector,Other Establishments,28/02/2025,"£16,498.24",Glenholme Specialist Helathcare
42375402,Adult Care Sector,Other Establishments,28/02/2025,"£31,758.36",Amber Care (Lincolnshire) Ltd
42375403,Adult Care Sector,Other Establishments,28/02/2025,"£6,720.00",Amber House
42375409,Adult Care Sector,Other Establishments,28/02/2025,"£45,303.10",Goodwin Healthcare Services Ltd
42375413,Adult Care Sector,Other Establishments,28/02/2025,"£42,021.76",Elite Care Solutions Ltd
42375423,Adult Care Sector,Other Establishments,28/02/2025,"£59,133.40",Jme Care Ltd
42376705,Adult Care Sector,Other Establishments,13/03/2025,"£10,248.00",Affinity Care Consortium Ltd
42376707,Adult Care Sector,Other Establishments,13/03/2025,"£23,280.16",The Bridge Community Care Ltd
42376708,Adult Care Sector,Other Establishments,13/03/2025,"£12,433.16",Home From Home Care Management Ltd
42376709,Adult Care Sector,Other Establishments,13/03/2025,"£8,121.92",Hollybank Trust
42376711,Adult Care Sector,Other Establishments,13/03/2025,£842.43,Bramling Cross Care Ltd
42376713,Adult Care Sector,Other Establishments,13/03/2025,"£22,857.56",Newfound Care Ltd
42376714,Adult Care Sector,Other Establishments,13/03/2025,"£13,422.36",Sense
42376716,Adult Care Sector,Other Establishments,13/03/2025,"£1,577.79",BH Care Home Ltd
42376719,Adult Care Sector,Other Establishments,13/03/2025,"£4,257.80",Woodview Care Ltd
42376720,Adult Care Sector,Other Establishments,13/03/2025,"£2,598.72",Bupa Care Services (Commissioning) Ltd
42376721,Adult Care Sector,Other Establishments,13/03/2025,"£10,624.73",Bupa Care Services (Commissioning) Ltd
42376728,Adult Care Sector,Other Establishments,13/03/2025,"£1,214.40",Abbey Drive West
42376731,Adult Care Sector,Other Establishments,13/03/2025,"£68,873.44",Amber House
42376733,Adult Care Sector,Other Establishments,13/03/2025,"£32,564.29",St Andrews Court Healthcare Ltd
42376734,Adult Care Sector,Other Establishments,13/03/2025,"£5,939.93",Balmoral House
42376735,Adult Care Sector,Other Establishments,13/03/2025,"£2,598.72",Ascot House
42376736,Adult Care Sector,Other Establishments,13/03/2025,"£18,551.24",Beechcroft House
42376737,Adult Care Sector,Other Establishments,13/03/2025,"£7,313.60",Blyton Court
42376738,Adult Care Sector,Other Establishments,13/03/2025,"£37,238.18",Hc One
42376743,Adult Care Sector,Other Establishments,13/03/2025,"£3,785.16",Cas Learning Disabilities Ltd
42376744,Adult Care Sector,Other Establishments,13/03/2025,"£4,454.95",Carseld
42376745,Adult Care Sector,Other Establishments,13/03/2025,"£3,121.78",P&N Care Home Ltd
42376746,Adult Care Sector,Other Establishments,13/03/2025,"£2,413.10",Cherry Tree House
42376748,Adult Care Sector,Other Establishments,13/03/2025,"£7,029.04",Community Solutions
42376749,Adult Care Sector,Other Establishments,13/03/2025,"£16,573.28",Community Solutions
