Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (£),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,08/08/2023,4825170,100,TOTAL HEALTH SUPPORT & TRAINING SERVICES,ASC Senior Management Team,-20000,Other support - not recoverabl,INTERNAL,CREDIT,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,10/08/2023,4825479,101,TOTAL HEALTH SUPPORT & TRAINING SERVICES,ASC Senior Management Team,-20000,Other support - not recoverabl,INTERNAL,CREDIT,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,23/08/2023,4830204,102,A2 DOMINION GROUP,ASC Senior Management Team,-61469.59,Other support - not recoverabl,Third Party Supplier,CREDIT,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,04/08/2023,4817030,552,UXTWEAK J.S.A.,IT Management,1523.81,Software Licences,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,01/08/2023,4823269,371453,CITY & GUILDS,New Directions,126,Examination Fees,Third Party Supplier,STANDARD,3340,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823269,371453,CITY & GUILDS,New Directions,475,Examination Fees,Third Party Supplier,STANDARD,3340,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4820968,371455,CAVERSHAM PARK PRIMARY,School Grants Holding Account,1200,School Transfer Payment,SUPPLIER,STANDARD,3295,NAAA-Former Directorate of Education and Childrens Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Hexagon Operations,-5097.93,Ticket SalesPerformances,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Hexagon Operations,-581.66,Administration Charges,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Town Hall - Concert Hall Events,-512.6,Fees + Commissions,Third Party Supplier,CREDIT,1213,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Hexagon Operations,-256,Security Charges,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Hexagon Operations,-200.36,Credit Card Commission,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Hexagon Operations,-30,Sales  Surplus Equipment,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Hexagon Operations,-11.13,Royalties,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Town Hall - Concert Hall Events,542.6,Professional Fees,Third Party Supplier,STANDARD,1213,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Town Hall - Concert Hall Events,3280.84,Professional Fees,Third Party Supplier,STANDARD,1213,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823274,371457,LIVE NATION MUSIC (UK) LTD,Hexagon Performances,6147.08,Ticket SalesPerformances,Third Party Supplier,STANDARD,1202,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823332,371459,DAVID CROFTS LTD,Events & Engagement,375,Special Activities,Third Party Supplier,STANDARD,2080,EAAA-Chief Executive
RBC Legal Entity,01/08/2023,4823332,371459,DAVID CROFTS LTD,Events & Engagement,375,Special Activities,Third Party Supplier,STANDARD,2080,EAAA-Chief Executive
RBC Legal Entity,01/08/2023,4814891,371460,PMR PRODUCTS,Corporate FM - Office Buildings,1255,Equipment Purchase & Repair,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/08/2023,4823308,371461,M & B ELECTRICAL SERVICES,Corporate Offices,3360,Building Works,SUB-CONTRACTOR,STANDARD,8602,ZZZC-Capital
RBC Legal Entity,01/08/2023,4823263,371464,IMPACT RENOVATIONS LTD,Private Sector Grants,9677.29,Grants (Paid out by RBC),SUB-CONTRACTOR,STANDARD,8500,ZZZC-Capital
RBC Legal Entity,01/08/2023,4818065,371465,CSCO.AUDIO,Events & Engagement,1000.5,Special Activities,Third Party Supplier,STANDARD,2080,EAAA-Chief Executive
RBC Legal Entity,01/08/2023,4823399,371466,EDWARD KIRKWOOD,JLT Disbursements,7550,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/08/2023,4816444,371467,MIRUS PROJECTS LTD,Payroll + Payments A/c,-56,System Creditors,SUB-CONTRACTOR,CREDIT,9823,ZZZB-Balance Sheet
RBC Legal Entity,01/08/2023,4816444,371467,MIRUS PROJECTS LTD,Corporate FM - Office Buildings,280,Reactive Maintenance,SUB-CONTRACTOR,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
