Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre,Directorate
RBC Legal Entity,27/10/2023,4847927,109,TOTAL HEALTH SUPPORT & TRAINING SERVICES,ASC Senior Management Team,-10000,Other support - not recoverabl,INTERNAL,CREDIT,5700,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,02/10/2023,4836386,376547,M&R SERVICES,Mental Health Community Services,575,Purchased Care,SUB-CONTRACTOR,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,02/10/2023,4837065,376548,PITNEY BOWES LTD,Post Room,1.1,Postage Carriage Stamp Duty,Third Party Supplier,STANDARD,2585,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4837065,376548,PITNEY BOWES LTD,Post Room,5,Postage Carriage Stamp Duty,Third Party Supplier,STANDARD,2585,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4837065,376548,PITNEY BOWES LTD,Post Room,19906.17,Postage Carriage Stamp Duty,Third Party Supplier,STANDARD,2585,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4837137,376549,EE LTD,Bus Lane Enforcement,1747.13,Mobile Phones,UTILITY,STANDARD,4722,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4837137,376549,EE LTD,Network Management,1747.14,Mobile Phones,UTILITY,STANDARD,4703,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4834449,376552,KABA (UK) LTD,DLO Day to Day Trades,507.8,Materials Direct,Third Party Supplier,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4834450,376552,KABA (UK) LTD,DLO Day to Day Trades,15,Materials Direct,Third Party Supplier,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4834450,376552,KABA (UK) LTD,DLO Day to Day Trades,44.04,Materials Direct,Third Party Supplier,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4834450,376552,KABA (UK) LTD,DLO Day to Day Trades,72.62,Materials Direct,Third Party Supplier,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4834450,376552,KABA (UK) LTD,DLO Day to Day Trades,455,Materials Direct,Third Party Supplier,STANDARD,4010,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,02/10/2023,4834452,376555,MIDLAND SOFTWARE LTD,HR & Payroll,608.4,Software Licences,Third Party Supplier,STANDARD,2600,LAAA-Directorate of Resources
RBC Legal Entity,02/10/2023,4834453,376555,MIDLAND SOFTWARE LTD,HR & Payroll,1149.2,Software Licences,Third Party Supplier,STANDARD,2600,LAAA-Directorate of Resources
RBC Legal Entity,02/10/2023,4834454,376555,MIDLAND SOFTWARE LTD,HR & Payroll,500,Software Licences,Third Party Supplier,STANDARD,2600,LAAA-Directorate of Resources
